#y z r Fr
-4.0000000000000002e-01 2.5673907444456746e-17 4.0000000000000002e-01 -6.9640199999999999e-02
-3.9466666666666672e-01 2.5673907444456746e-17 3.9466666666666672e-01 -6.1800391159478898e-02
-3.8933333333333336e-01 2.5673907444456746e-17 3.8933333333333336e-01 -5.4818279621063344e-02
-3.8400000000000001e-01 2.5673907444456746e-17 3.8400000000000001e-01 -4.8566928624749511e-02
-3.7866666666666671e-01 2.5673907444456746e-17 3.7866666666666671e-01 -4.2940672020316387e-02
-3.7333333333333335e-01 2.5673907444456746e-17 3.7333333333333335e-01 -3.7851687138355815e-02
-3.6800000000000005e-01 2.5673907444456746e-17 3.6800000000000005e-01 -3.3227062525615601e-02
-3.6266666666666669e-01 2.5673907444456746e-17 3.6266666666666669e-01 -2.9006299195162070e-02
-3.5733333333333334e-01 2.5673907444456746e-17 3.5733333333333334e-01 -2.5139190353560197e-02
-3.5200000000000004e-01 2.5673907444456746e-17 3.5200000000000004e-01 -2.1584030357610289e-02
-3.4666666666666668e-01 2.5673907444456746e-17 3.4666666666666668e-01 -1.8306108955365580e-02
-3.4133333333333332e-01 2.5673907444456746e-17 3.4133333333333338e-01 -1.5276451711840605e-02
-3.3600000000000002e-01 2.5673907444456746e-17 3.3600000000000002e-01 -1.2470771939182520e-02
-3.3066666666666666e-01 2.5673907444456746e-17 3.3066666666666666e-01 -9.8686034728501949e-03
-3.2533333333333336e-01 2.5673907444456746e-17 3.2533333333333336e-01 -7.4525872868691423e-03
-3.2000000000000001e-01 2.5673907444456746e-17 3.2000000000000001e-01 -5.2078882484886046e-03
-3.1466666666666665e-01 2.5673907444456746e-17 3.1466666666666671e-01 -3.1217213002420825e-03
-3.0933333333333335e-01 2.5673907444456746e-17 3.0933333333333335e-01 -1.1829690489120336e-03
-3.0400000000000005e-01 2.5673907444456746e-17 3.0399999999999999e-01 6.1812484158774595e-04
-2.9866666666666669e-01 2.5673907444456746e-17 2.9866666666666669e-01 2.2901998918722056e-03
-2.9333333333333333e-01 2.5673907444456746e-17 2.9333333333333333e-01 3.8409721903490579e-03
-2.8799999999999998e-01 2.5673907444456746e-17 2.8800000000000003e-01 5.2773867081222755e-03
-2.8266666666666668e-01 2.5673907444456746e-17 2.8266666666666668e-01 6.6057368152307476e-03
-2.7733333333333338e-01 2.5673907444456746e-17 2.7733333333333332e-01 7.8317579275994954e-03
-2.7199999999999996e-01 2.5673907444456746e-17 2.7200000000000002e-01 8.9607010381139683e-03
-2.6666666666666666e-01 2.5673907444456746e-17 2.6666666666666666e-01 9.9973908588894857e-03
-2.6133333333333336e-01 2.5673907444456746e-17 2.6133333333333336e-01 1.0946272411296065e-02
-2.5600000000000001e-01 2.5673907444456746e-17 2.5600000000000001e-01 1.1811449132685748e-02
-2.5066666666666665e-01 2.5673907444456746e-17 2.5066666666666665e-01 1.2596714911979777e-02
-2.4533333333333332e-01 2.5673907444456746e-17 2.4533333333333335e-01 1.3305581909034230e-02
-2.3999999999999999e-01 2.5673907444456746e-17 2.3999999999999999e-01 1.3941305544527278e-02
-2.3466666666666669e-01 2.5673907444456746e-17 2.3466666666666666e-01 1.4506907658248186e-02
-2.2933333333333331e-01 2.5673907444456746e-17 2.2933333333333333e-01 1.5005198515085274e-02
-2.2399999999999998e-01 2.5673907444456746e-17 2.2400000000000000e-01 1.5438798081349162e-02
-2.1866666666666668e-01 2.5673907444456746e-17 2.1866666666666668e-01 1.5810156791623425e-02
-2.1333333333333335e-01 2.5673907444456746e-17 2.1333333333333335e-01 1.6121575871017903e-02
-2.0800000000000002e-01 2.5673907444456746e-17 2.0799999999999999e-01 1.6375227163012984e-02
-2.0266666666666666e-01 2.5673907444456746e-17 2.0266666666666666e-01 1.6573172333083301e-02
-1.9733333333333333e-01 2.5673907444456746e-17 1.9733333333333333e-01 1.6717381267571229e-02
-1.9200000000000000e-01 2.5673907444456746e-17 1.9200000000000000e-01 1.6809749460937624e-02
-1.8666666666666665e-01 2.5673907444456746e-17 1.8666666666666665e-01 1.6852114178120863e-02
-1.8133333333333335e-01 2.5673907444456746e-17 1.8133333333333332e-01 1.6846269188308782e-02
-1.7599999999999999e-01 2.5673907444456746e-17 1.7599999999999999e-01 1.6793977888414552e-02
-1.7066666666666666e-01 2.5673907444456746e-17 1.7066666666666666e-01 1.6696984665795108e-02
-1.6533333333333333e-01 2.5673907444456746e-17 1.6533333333333333e-01 1.6557024387476200e-02
-1.6000000000000000e-01 2.5673907444456746e-17 1.6000000000000000e-01 1.6375829944924206e-02
-1.5466666666666665e-01 2.5673907444456746e-17 1.5466666666666665e-01 1.6155137827128359e-02
-1.4933333333333332e-01 2.5673907444456746e-17 1.4933333333333332e-01 1.5896691738632698e-02
-1.4399999999999999e-01 2.5673907444456746e-17 1.4399999999999999e-01 1.5602244321671638e-02
-1.3866666666666666e-01 2.5673907444456746e-17 1.3866666666666666e-01 1.5273557081465536e-02
-1.3333333333333333e-01 2.5673907444456746e-17 1.3333333333333333e-01 1.4912398650015630e-02
-1.2799999999999997e-01 2.5673907444456746e-17 1.2799999999999997e-01 1.4520541555613402e-02
-1.2266666666666666e-01 2.5673907444456746e-17 1.2266666666666666e-01 1.4099757692165015e-02
-1.1733333333333332e-01 2.5673907444456746e-17 1.1733333333333332e-01 1.3651812703927270e-02
-1.1199999999999999e-01 2.5673907444456746e-17 1.1199999999999999e-01 1.3178459517124864e-02
-1.0666666666666665e-01 2.5673907444456746e-17 1.0666666666666666e-01 1.2681431260086166e-02
-1.0133333333333333e-01 2.5673907444456746e-17 1.0133333333333332e-01 1.2162433818046535e-02
-9.5999999999999988e-02 2.5673907444456746e-17 9.5999999999999988e-02 1.1623138267788803e-02
-9.0666666666666659e-02 2.5673907444456746e-17 9.0666666666666645e-02 1.1065173431091240e-02
-8.5333333333333317e-02 2.5673907444456746e-17 8.5333333333333317e-02 1.0490118774886514e-02
-7.9999999999999988e-02 2.5673907444456746e-17 7.9999999999999988e-02 9.8994978705321344e-03
-7.4666666666666645e-02 2.5673907444456746e-17 7.4666666666666645e-02 9.2947726051410984e-03
-6.9333333333333316e-02 2.5673907444456746e-17 6.9333333333333316e-02 8.6773383150587115e-03
-6.3999999999999987e-02 2.5673907444456746e-17 6.3999999999999987e-02 8.0485199858693485e-03
-5.8666666666666645e-02 2.5673907444456746e-17 5.8666666666666645e-02 7.4095696353725969e-03
-5.3333333333333316e-02 2.5673907444456746e-17 5.3333333333333316e-02 6.7616649663925473e-03
-4.7999999999999980e-02 2.5673907444456746e-17 4.7999999999999980e-02 6.1059093456912843e-03
-4.2666666666666644e-02 2.5673907444456746e-17 4.2666666666666644e-02 5.4433331342580438e-03
-3.7333333333333309e-02 2.5673907444456746e-17 3.7333333333333309e-02 4.7748963634339598e-03
-3.1999999999999980e-02 2.5673907444456746e-17 3.1999999999999980e-02 4.1014927212834123e-03
-2.6666666666666644e-02 2.5673907444456746e-17 2.6666666666666644e-02 3.4239547848809010e-03
-2.1333333333333312e-02 2.5673907444456746e-17 2.1333333333333312e-02 2.7430604072568665e-03
-1.5999999999999976e-02 2.5673907444456746e-17 1.5999999999999976e-02 2.0595401431040511e-03
-1.0666666666666642e-02 2.5673907444456746e-17 1.0666666666666642e-02 1.3740855754088056e-03
-5.3333333333333080e-03 2.5673907444456746e-17 5.3333333333333080e-03 6.8735838630846937e-04
2.5673907444456746e-17 2.5673907444456746e-17 3.6308388107062301e-17 0.0000000000000000e+00
5.3333333333333600e-03 2.5673907444456746e-17 5.3333333333333600e-03 6.8735838630847837e-04
1.0666666666666694e-02 2.5673907444456746e-17 1.0666666666666694e-02 1.3740855754088134e-03
1.6000000000000025e-02 2.5673907444456746e-17 1.6000000000000028e-02 2.0595401431040593e-03
2.1333333333333360e-02 2.5673907444456746e-17 2.1333333333333360e-02 2.7430604072568756e-03
2.6666666666666696e-02 2.5673907444456746e-17 2.6666666666666696e-02 3.4239547848809110e-03
3.2000000000000028e-02 2.5673907444456746e-17 3.2000000000000028e-02 4.1014927212834245e-03
3.7333333333333364e-02 2.5673907444456746e-17 3.7333333333333364e-02 4.7748963634339763e-03
4.2666666666666700e-02 2.5673907444456746e-17 4.2666666666666700e-02 5.4433331342580594e-03
4.8000000000000036e-02 2.5673907444456746e-17 4.8000000000000036e-02 6.1059093456912973e-03
5.3333333333333371e-02 2.5673907444456746e-17 5.3333333333333365e-02 6.7616649663925586e-03
5.8666666666666700e-02 2.5673907444456746e-17 5.8666666666666700e-02 7.4095696353726108e-03
