#y z r Fr
-4.0000000000000002e-01 2.5673907444456746e-17 4.0000000000000002e-01 -6.8214600000000000e-02
-3.9466666666666672e-01 2.5673907444456746e-17 3.9466666666666672e-01 -6.2998967321393609e-02
-3.8933333333333336e-01 2.5673907444456746e-17 3.8933333333333336e-01 -5.7706565015998426e-02
-3.8400000000000001e-01 2.5673907444456746e-17 3.8400000000000001e-01 -5.2472229763552924e-02
-3.7866666666666671e-01 2.5673907444456746e-17 3.7866666666666671e-01 -4.7390996127745451e-02
-3.7333333333333335e-01 2.5673907444456746e-17 3.7333333333333335e-01 -4.2526513386100098e-02
-3.6800000000000005e-01 2.5673907444456746e-17 3.6800000000000005e-01 -3.7918061080655534e-02
-3.6266666666666669e-01 2.5673907444456746e-17 3.6266666666666669e-01 -3.3586350429786180e-02
-3.5733333333333334e-01 2.5673907444456746e-17 3.5733333333333334e-01 -2.9538278732295472e-02
-3.5200000000000004e-01 2.5673907444456746e-17 3.5200000000000004e-01 -2.5770785571741554e-02
-3.4666666666666668e-01 2.5673907444456746e-17 3.4666666666666668e-01 -2.2273942883377727e-02
-3.4133333333333332e-01 2.5673907444456746e-17 3.4133333333333338e-01 -1.9033395674660926e-02
-3.3600000000000002e-01 2.5673907444456746e-17 3.3600000000000002e-01 -1.6032256294447864e-02
-3.3066666666666666e-01 2.5673907444456746e-17 3.3066666666666666e-01 -1.3252542531930622e-02
-3.2533333333333336e-01 2.5673907444456746e-17 3.2533333333333336e-01 -1.0676238404820772e-02
-3.2000000000000001e-01 2.5673907444456746e-17 3.2000000000000001e-01 -8.2860461824687259e-03
-3.1466666666666665e-01 2.5673907444456746e-17 3.1466666666666671e-01 -6.0658889030066974e-03
-3.0933333333333335e-01 2.5673907444456746e-17 3.0933333333333335e-01 -4.0012143078825089e-03
-3.0400000000000005e-01 2.5673907444456746e-17 3.0399999999999999e-01 -2.0791436599941777e-03
-2.9866666666666669e-01 2.5673907444456746e-17 2.9866666666666669e-01 -2.8850226460885734e-04
-2.9333333333333333e-01 2.5673907444456746e-17 2.9333333333333333e-01 1.3802373893186000e-03
-2.8799999999999998e-01 2.5673907444456746e-17 2.8800000000000003e-01 2.9350741669709273e-03
-2.8266666666666668e-01 2.5673907444456746e-17 2.8266666666666668e-01 4.3826373944852916e-03
-2.7733333333333338e-01 2.5673907444456746e-17 2.7733333333333332e-01 5.7283694422387748e-03
-2.7199999999999996e-01 2.5673907444456746e-17 2.7200000000000002e-01 6.9767181879729339e-03
-2.6666666666666666e-01 2.5673907444456746e-17 2.6666666666666666e-01 8.1313287850954871e-03
-2.6133333333333336e-01 2.5673907444456746e-17 2.6133333333333336e-01 9.1952267543475366e-03
-2.5600000000000001e-01 2.5673907444456746e-17 2.5600000000000001e-01 1.0170986622677026e-02
-2.5066666666666665e-01 2.5673907444456746e-17 2.5066666666666665e-01 1.1060882190764279e-02
-2.4533333333333332e-01 2.5673907444456746e-17 2.4533333333333335e-01 1.1867016056690199e-02
-2.3999999999999999e-01 2.5673907444456746e-17 2.3999999999999999e-01 1.2591427291668851e-02
-2.3466666666666669e-01 2.5673907444456746e-17 2.3466666666666666e-01 1.3236177186083732e-02
-2.2933333333333331e-01 2.5673907444456746e-17 2.2933333333333333e-01 1.3803413789446427e-02
-2.2399999999999998e-01 2.5673907444456746e-17 2.2400000000000000e-01 1.4295416583279669e-02
-2.1866666666666668e-01 2.5673907444456746e-17 2.1866666666666668e-01 1.4714623076135093e-02
-2.1333333333333335e-01 2.5673907444456746e-17 2.1333333333333335e-01 1.5063639417781589e-02
-2.0800000000000002e-01 2.5673907444456746e-17 2.0799999999999999e-01 1.5345237315912318e-02
-2.0266666666666666e-01 2.5673907444456746e-17 2.0266666666666666e-01 1.5562339622550872e-02
-1.9733333333333333e-01 2.5673907444456746e-17 1.9733333333333333e-01 1.5717996955988328e-02
-1.9200000000000000e-01 2.5673907444456746e-17 1.9200000000000000e-01 1.5815357653205561e-02
-1.8666666666666665e-01 2.5673907444456746e-17 1.8666666666666665e-01 1.5857633221420933e-02
-1.8133333333333335e-01 2.5673907444456746e-17 1.8133333333333332e-01 1.5848061288280441e-02
-1.7599999999999999e-01 2.5673907444456746e-17 1.7599999999999999e-01 1.5789867849510347e-02
-1.7066666666666666e-01 2.5673907444456746e-17 1.7066666666666666e-01 1.5686230390522162e-02
-1.6533333333333333e-01 2.5673907444456746e-17 1.6533333333333333e-01 1.5540243223208178e-02
